text,label
Ü still attending da talks?,ham
"Aight yo, dats straight dogg",ham
I dont know exactly could you ask chechi.,ham
That's one of the issues but california is okay. No snow so its manageable,ham
"When you just put in the + sign, choose my number and the pin will show. Right?",ham
Oooh I got plenty of those!,ham
No that just means you have a fat head,ham
K.k..how is your sister kids?,ham
Just hopeing that wasn‘t too pissed up to remember and has gone off to his sisters or something!,ham
Is that seriously how you spell his name?,ham
Doing project w frens lor.,ham
If we win its really no 1 side for long time.,ham
Okie...,ham
We have all rounder:)so not required:),ham
If i start sending blackberry torch to nigeria will you find buyer for me?like 4a month. And tell dad not to buy bb from anyone oh.,ham
"Sorry I flaked last night, shit's seriously goin down with my roommate, what you up to tonight?",ham
Nite nite pocay wocay luv u more than n e thing 4eva I promise ring u 2morrowxxxx,ham
"Good afternoon, my love. How goes your day ? What are you up to ? I woke early and am online waiting for you ... Hmmm ... Italian boy is online I see . *grins*",ham
Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56,spam
Well she's in for a big surprise!,ham
HI DARLIN I HOPE YOU HAD A NICE NIGHT I WISH I HAD COME CANT WAIT TO SEE YOU LOVE FRAN PS I WANT DIRTY ANAL SEX AND I WANT A 10 MAN GANG BANG,ham
Please CALL 08712402779 immediately as there is an urgent message waiting for you,spam
I dont thnk its a wrong calling between us,ham
"Huh... Hyde park not in mel ah, opps, got confused... Anyway, if tt's e best choice den we juz have to take it...",ham
They don't put that stuff on the roads to keep it from getting slippery over there?,ham
O shore are you takin the bus,ham
Still i have not checked it da. . .,ham
Bought one ringtone and now getting texts costing 3 pound offering more tones etc,spam
Great. Never been better. Each day gives even more reasons to thank God,ham
I see a cup of coffee animation,ham
HI DARLIN IVE JUST GOT BACK AND I HAD A REALLY NICE NIGHT AND THANKS SO MUCH FOR THE LIFT SEE U TOMORROW XXX,ham
Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...,ham
Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,ham
Not to worry. I'm sure you'll get it.,ham
Why did I wake up on my own &gt;:(,ham
Yeah that'd pretty much be the best case scenario,ham
I'm going out to buy mum's present ar.,ham
Yes. I come to nyc for audiitions and am trying to relocate.,ham
I want to lick your pussy now...,ham
That means get the door,ham
"Got hella gas money, want to go on a grand nature adventure with galileo in a little bit?",ham
Slept? I thinkThis time ( &lt;#&gt;  pm) is not dangerous,ham
"I'm an actor. When i work, i work in the evening and sleep late. Since i'm unemployed at the moment, i ALWAYS sleep late. When you're unemployed, every day is saturday.",ham
I'm turning off my phone. My moms telling everyone I have cancer. And my sister won't stop calling. It hurts to talk. Can't put up with it. See u when u get home. Love u,ham
V skint too but fancied few bevies.waz gona go meet &othrs in spoon but jst bin watchng planet earth&sofa is v comfey; If i dont make it hav gd night,ham
Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!,spam
ELLO BABE U OK?,ham
Yunny... I'm goin to be late,ham
Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-),ham
"Yeah go on then, bored and depressed sittin waitin for phone to ring... Hope the wind drops though, scary",ham
Can. Dunno wat to get 4 her...,ham
Ok. She'll be ok. I guess,ham
Nite...,ham
here is my new address -apples&pairs&all that malarky,ham
Ranjith cal drpd Deeraj and deepak 5min hold,ham
Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX £1.50,spam
Dude sux for snake. He got old and raiden got buff,ham
"Sorry, I'll call later",ham
"What will we do in the shower, baby?",ham
I‘m parked next to a MINI!!!! When are you coming in today do you think?,ham
Are you free now?can i call now?,ham
Sounds great! Are you home now?,ham
Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+,spam
I am 6 ft. We will be a good combination!,ham
Dont think you need yellow card for uk travel. Ask someone that has gone before. If you do its just  &lt;#&gt; bucks,ham
No you'll just get a headache trying to figure it out. U can trust me to do the math. I promise. O:-),ham
Back 2 work 2morro half term over! Can U C me 2nite 4 some sexy passion B4 I have 2 go back? Chat NOW 09099726481 Luv DENA Calls £1/minMobsmoreLKPOBOX177HP51FL,spam
Not thought bout it... || Drink in tap & spile at seven. || Is that pub on gas st off broad st by canal. || Ok?,ham
Haha mayb u're rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao.,ham
Hey i will be late... i'm at amk. Need to drink tea or coffee,ham
Babe: U want me dont u baby! Im nasty and have a thing 4 filthyguys. Fancy a rude time with a sexy bitch. How about we go slo n hard! Txt XXX SLO(4msgs),spam
Hey sexy buns! What of that day? No word from you this morning on YM ... :-( ... I think of you,ham
Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,ham
Missed call alert. These numbers called but left no message. 07008009200,spam
Then anything special?,ham
"For ur chance to win a £250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk",spam
Get ready to put on your excellent sub face :),ham
"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!",spam
Don't b floppy... b snappy & happy! Only gay chat service with photo upload call 08718730666 (10p/min). 2 stop our texts call 08712460324,spam
I cant pick the phone right now. Pls send a message,ham
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. £1.50 SP:Tyrone,spam
Yar... I tot u knew dis would happen long ago already.,ham
I dunno until when... Lets go learn pilates...,ham
Captain is in our room:),ham
Imagine Life WITHOUT ME... see.. How fast u are searching me?Don't worry.. l'm always there To disturb U.. Goodnoon..:),ham
IM FINE BABES AINT BEEN UP 2 MUCH THO! SAW SCARY MOVIE YEST ITS QUITE FUNNY! WANT 2MRW AFTERNOON? AT TOWN OR MALL OR SUMTHIN?xx,ham
Ok then i will come to ur home after half an hour,ham
Do u knw dis no. &lt;#&gt; ?,ham
Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow,ham
How many licks does it take to get to the center of a tootsie pop?,ham
"I can. But it will tell quite long, cos i haven't finish my film yet...",ham
Xy trying smth now. U eat already? We havent...,ham
"URGENT! Your mobile No 077xxx WON a £2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362206 ASAP! BOX97N7QP, 150ppm",spam
Am in film ill call you later.,ham
Oic cos me n my sis got no lunch today my dad went out... So dunno whether 2 eat in sch or wat...,ham
